# ── INPUT (Gate-1, you edit) — Regression-Watch risk: <sha> <L|M|H> [note]. unset=REVIEW (blocks execute); High=sign-off. '#' = comment. See ../README.md ──
#
# Cycle: capv spectro-master (CAPI v1.9.1 / v1beta1) -> v1.16.1 (CAPI v1.13.1 / v1beta2)
# reviewer-applied by spectro-capx-upgrade:capi-plan-reviewer — each risk below is backed by
# an inspected diff against the v1.16.1 tree, not by the planner's assertion.

# PICK-VERIFY. Adds Params.caller + Caller() setter + 3 controller call sites. `git grep caller`
# on origin/spectro-master shows the field is WRITE-ONLY: it is not in the sessionKey
# (pkg/session/session.go:130 keys on server#datacenter#username#thumbprint), never logged,
# never read. Functionally inert in both trees -> no fork behavior can be lost.
9c3c9344	L	write-only Params.caller field; not in sessionKey, never read — inert

# Group-3 parity confirmations demanded by skip-commits.txt (were REGWATCH rows in the
# 20260731-070552 plan; skip-listing them removed the rows, so the risk is recorded here instead).
# d7e36a25 / 55e6158f: only non-dep hunk is Makefile CAPI_HACK_TOOLS_VER (CAPI v1.9.0-rc.1 / v1.9.1
#   commit IDs). v1.16.1:Makefile:206 pins 16d0a6538ef0 = CAPI v1.13.1 -> strictly newer. Remaining
#   hunks are go.mod/go.sum/test-e2e-config version strings owned by the target.
# 08c3c2a9: the two code/config hunks are covered by the target as a strict superset —
#   v1.16.1 internal/test/helpers/vcsim/model.go lists ubuntu-2404-kube-v1.32.0 THROUGH v1.36.0,
#   and packaging/flavorgen/.../cpi.yaml pins cloud-provider-vsphere:v1.36.0 > v1.32.1.
d7e36a25	L	CAPI_HACK_TOOLS_VER superseded by v1.16.1 -> CAPI v1.13.1 (Makefile:206)
55e6158f	L	same as d7e36a25; target CAPI v1.13.1 > v1.9.1
08c3c2a9	L	target model.go OVA list + cpi.yaml v1.36.0 are strict supersets of v1.32

# ══ ROUND 2 ══ the six PICK-RESOLVE rows from the Gate-1 force-pick set, plus the two spectro/
# rows re-routed to PICK-RESOLVE (see known-commits.tsv D-1 audit). Judged on: what fork behavior
# can be LOST when a 3-way merge lands this on v1.16.1, weighted by whether a wrong resolution
# fails LOUDLY (build/CI error, caught at Tier-1) or SILENTLY (compiles, deploys, wrong at runtime).
# Each is backed by reading the fork diff against the actual v1.16.1 tree.

# ── HIGH ─────────────────────────────────────────────────────────────────────────────────────
# 9767d35a "Controller and Webhook separation" — palette's deployment model IS this commit, and
# both failure modes are invisible to Tier-1/Tier-2.
#  * v1.16.1:main.go:236 STILL defaults --webhook-port to 9443. The flip to 0 exists only here.
#  * palette config/vendorcrd/vsphere/newns/kustomization.yaml passes only
#    `--leader-elect --namespace=$(NAMESPACE) --sync-period=2m` — NO --webhook-port — and
#    base/core-base.yaml has NO /tmp/k8s-webhook-server/serving-certs mount (that mount appears only
#    in global/core-global.yaml:7343). Lose the default flip and every per-tenant capv-controller-
#    manager starts a webhook server with no serving cert -> CrashLoopBackOff in every tenant ns.
#  * Lose the if/else GATING instead and the webhook pod (global overlay: --webhook-port=9443
#    --leader-elect=false) ALSO runs AddCluster/Machine/VM/DeploymentZone controllers alongside every
#    tenant controller, with leader election off -> duplicate reconciliation of the same VMs.
#  * Not a mechanical merge: main.go went 496 -> 752 lines, webhook types were renamed
#    (webhooks.VSphereClusterTemplateWebhook -> webhooks.VSphereClusterTemplate), setupClusterCache
#    gained (secretCachingClient, isSupervisorCRDLoaded), setupSupervisorControllers gained
#    secretCachingClient, and supervisor webhooks now take controllerCtx.NetworkProvider.
# Needs a human to read the resolved main.go and confirm BOTH the default and the gating.
9767d35a	H	palette 2-pod model; target still defaults 9443 and newns passes no --webhook-port + no cert mount -> lose flip = tenant CrashLoop, lose gating = double reconcile; main.go 496->752 diverged

# 3670335d "Fixed vsphere cluster upgrade stuck 1.22->1.23" — cannot be merged, only re-implemented,
# and the only coherent re-implementation changes semantics the fork never actually had.
